Grammars,3730_16_c.txt,5340_45_c.txt,4906_119_c.txt,10457_115_c.txt,1795_118_c.txt,4266_8_c.txt,2727_113_c.txt,4120_113_c.txt,16439_25_c.txt,16731_22_c.txt,16694_20_c.txt,4350_120_c.txt,15471_120_c.txt,14892_119_c.txt,14250_118_c.txt,2992_23_c.txt,14329_120_c.txt,7883_16_c.txt,13827_120_c.txt,6554_25_c.txt,16553_16_c.txt,10699_120_c.txt,7052_16_c.txt,14931_120_c.txt,15564_21_c.txt,2989_24_c.txt,12157_23_c.txt,12690_22_c.txt,363_22_c.txt,437_8_c.txt,13508_118_c.txt,10090_41_c.txt,13748_119_c.txt,15060_40_c.txt,5006_30_c.txt,7802_118_c.txt,2096_17_c.txt,3552_31_c.txt,523_16_c.txt,3135_22_c.txt,10023_120_c.txt,12084_32_c.txt,7527_15_c.txt,3892_120_c.txt,1850_117_c.txt,13010_117_c.txt,14722_123_c.txt,983_60_c.txt,5720_45_c.txt,9732_121_c.txt,12234_115_c.txt,2220_35_c.txt,8460_112_c.txt,7205_14_c.txt,3096_21_c.txt,15639_121_c.txt,1593_121_c.txt,14542_119_c.txt,4008_119_c.txt,1044_122_c.txt,7917_117_c.txt,925_122_c.txt,7217_122_c.txt,16783_18_c.txt,12954_21_c.txt,11608_118_c.txt,1182_122_c.txt,2462_25_c.txt,13007_45_c.txt,165_120_c.txt,12347_8_c.txt,863_119_c.txt,201_120_c.txt,456_2_c.txt,3988_119_c.txt,9488_25_c.txt,8857_121_c.txt,4646_120_c.txt
nBases,16,45,119,115,118,8,113,113,25,22,20,120,120,119,118,23,120,16,120,25,16,120,16,120,21,24,23,22,22,8,118,41,119,40,30,118,17,31,16,22,120,32,15,120,117,117,123,60,45,121,115,35,112,14,21,121,121,119,119,122,117,122,122,18,21,118,122,25,45,120,8,119,120,2,119,25,121,120
G_dag_6_10,48,115,302,315,295,30,304,300,71,64,59,310,337,300,297,67,338,51,303,69,50,302,49,338,61,68,66,65,64,30,322,106,304,104,80,326,53,84,50,65,341,86,45,291,323,339,307,146,115,304,289,93,324,46,61,338,335,336,298,310,342,306,338,55,62,342,305,70,115,326,31,300,307,12,290,71,306,339
grammar-3NTs-6rules-397670,57,128,317,335,312,37,321,318,81,73,69,327,359,315,313,77,359,58,319,80,58,318,57,360,71,78,76,74,74,36,343,117,322,116,92,348,61,95,58,74,362,96,54,306,344,365,325,160,128,321,308,104,348,54,71,360,357,357,313,328,369,323,361,63,71,368,324,80,127,348,37,315,324,15,306,81,326,361
grammar-2NTs-6rules-6614,75,161,358,364,352,47,358,354,105,96,90,364,388,356,353,100,389,77,360,104,76,359,75,389,92,101,99,96,96,47,375,149,359,147,118,378,80,122,76,97,392,125,71,347,366,388,365,198,161,354,331,133,362,70,92,390,383,386,354,367,398,357,391,84,93,393,362,104,161,379,48,356,361,16,345,105,357,390
grammar-2NTs-7rules-12831,72,159,357,362,351,44,360,355,102,93,87,366,394,355,352,97,396,74,359,101,73,358,72,395,90,98,96,94,93,43,379,147,361,145,116,381,78,120,73,94,398,122,68,347,368,390,364,196,159,354,327,131,364,67,90,397,387,395,353,365,402,357,396,81,90,394,364,101,158,384,44,355,363,11,344,103,356,397
grammar-2NTs-7rules-12158,76,164,361,367,355,48,361,357,108,98,92,367,391,359,356,102,393,79,363,106,78,362,77,393,95,103,101,99,98,48,378,152,362,150,121,381,82,125,78,99,395,128,72,350,370,392,368,202,164,358,334,136,365,72,95,394,386,390,357,370,402,361,395,86,95,396,365,106,164,383,49,359,364,17,348,108,360,394
grammar-2NTs-6rules-6562,92,194,376,385,371,56,375,370,129,118,110,381,407,375,372,122,407,95,378,127,94,377,93,408,113,124,121,118,118,56,397,181,377,179,145,393,99,149,94,118,409,153,87,368,389,410,384,236,194,378,358,162,388,86,113,409,405,404,372,385,418,381,411,103,114,415,380,128,194,398,57,375,378,15,364,129,377,408
grammar-2NTs-7rules-11696,76,164,361,367,355,48,361,357,108,98,92,367,391,359,356,102,393,79,363,106,78,362,77,393,95,103,101,99,98,48,378,152,362,150,121,381,82,125,78,99,395,128,72,350,370,392,368,202,164,358,334,136,365,72,95,394,386,390,357,370,402,361,395,86,95,396,365,106,164,383,49,359,364,17,348,108,360,394
RandomGrammar_6_36+81+91+132+134+204+215+227+259,48,115,298,311,291,30,300,296,70,63,59,305,332,296,292,66,334,50,298,69,49,297,48,334,61,67,65,64,64,29,318,105,300,104,80,322,52,83,49,64,336,86,45,286,319,335,303,146,115,299,285,92,320,45,61,334,331,332,294,305,338,301,334,55,61,338,300,69,115,322,30,296,302,11,285,71,302,335
RandomGrammar_5_0+1+16+24+48+96+97+153+156+163,69,154,339,345,333,43,334,329,99,90,84,339,369,337,334,94,370,72,340,97,71,339,70,370,87,95,93,91,90,43,361,142,334,140,112,354,75,115,71,91,371,118,66,328,352,371,339,190,153,334,318,126,354,65,87,369,364,367,335,340,378,337,369,78,87,375,336,98,153,363,44,337,336,15,326,99,341,371
grammar-2NTs-5rules-2574,91,196,370,374,368,55,363,360,129,118,109,373,390,369,367,122,391,95,371,128,92,369,91,392,114,125,121,119,118,54,394,183,366,180,145,383,98,150,93,119,393,154,88,361,385,401,375,239,196,372,353,163,384,85,113,400,397,388,367,375,407,376,401,103,114,405,375,128,195,395,55,369,371,17,360,129,369,391
RandomGrammar_3_0+1+8+10+12+13+15+34+37,47,114,312,319,306,29,307,303,69,62,58,313,343,310,307,65,344,49,313,68,48,312,47,344,60,66,64,63,63,28,334,104,307,103,79,331,51,82,48,63,347,85,44,301,328,346,310,145,114,307,292,91,330,44,60,343,340,342,308,313,350,309,343,54,60,349,308,68,114,338,29,310,310,10,300,70,317,345
